match_file,tournament,team_a,team_b,date,team_a_prev_matches_played,team_a_prev_matches_won,team_a_prev_win_rate,team_a_prev_sets_won,team_a_prev_sets_lost,team_a_prev_set_win_rate,team_a_prev_avg_points_scored,team_a_prev_avg_points_conceded,team_b_prev_matches_played,team_b_prev_matches_won,team_b_prev_win_rate,team_b_prev_sets_won,team_b_prev_sets_lost,team_b_prev_set_win_rate,team_b_prev_avg_points_scored,team_b_prev_avg_points_conceded,h2h_matches,h2h_team_a_wins,team_a_won
PVL2025A-W56-CCS-FFF-XML.xml,PVLAF25,CCS,FFF,20250211,19,15,0.7894736842105263,51,21,0.7083333333333334,90.15789473684211,77.84210526315789,8,1,0.125,8,21,0.27586206896551724,75.375,84.625,0,0,1
PVL2024A-M54-CTC-HSH-XML.xml,PVLALL24,CTC,HSH,20240416,11,4,0.36363636363636365,18,22,0.45,79.36363636363636,82.18181818181819,7,5,0.7142857142857143,18,10,0.6428571428571429,90.14285714285714,85.28571428571429,0,0,1
PVL2025A-W29-CCS-ZUS-XML.xml,PVLAF25,CCS,ZUS,20241212,20,16,0.8,54,21,0.72,89.5,76.9,3,0,0.0,3,9,0.25,82.66666666666667,89.33333333333333,0,0,1
PVL2025B-W23-CHD-ZUS-XML.xml,PVLOT25,CHD,ZUS,20250720,14,9,0.6428571428571429,30,23,0.5660377358490566,86.07142857142857,77.92857142857143,4,0,0.0,5,12,0.29411764705882354,90.5,94.75,0,0,1
PVL2023B-W06-PGAvFOT-XML.xml,PVLINV23,PGA,FOT,20230629,8,6,0.75,21,8,0.7241379310344828,88.25,78.125,0,0,0.5,0,0,0.5,0.0,0.0,0,0,1
STIC2023-M36-CHDvPGA-XML_111123.xml,PVLALL23,CHD,PGA,20231111,15,10,0.6666666666666666,33,24,0.5789473684210527,86.73333333333333,78.06666666666666,9,7,0.7777777777777778,24,9,0.7272727272727273,89.22222222222223,79.44444444444444,0,0,1
PVL2024A-M51-SGA-CMF-XML.xml,PVLALL24,SGA,CMF,20240413,3,0,0.0,0,9,0.0,40.333333333333336,75.0,14,11,0.7857142857142857,37,22,0.6271186440677966,91.35714285714286,86.78571428571429,0,0,0
PVLAFC2023-M75-CMFvCCS-XML_121623.xml,PVLALL23,CMF,CCS,20231216,15,12,0.8,40,22,0.6451612903225806,90.26666666666667,84.13333333333334,21,17,0.8095238095238095,57,23,0.7125,90.52380952380952,78.66666666666667,0,0,0
PVLAFC2023-M66-FTLvCCS-XML_111423.xml,PVLALL23,FTL,CCS,20231114,2,0,0.0,1,6,0.14285714285714285,73.0,87.5,22,18,0.8181818181818182,60,25,0.7058823529411765,91.63636363636364,80.0909090909091,0,0,0
PVL2025A-W75-FFF-CTC-XML.xml,PVLAF25,FFF,CTC,20250311,9,1,0.1111111111111111,8,24,0.25,73.55555555555556,83.77777777777777,12,5,0.4166666666666667,21,22,0.4883720930232558,79.0,80.16666666666667,0,0,0
PVLAFC2023-M1-GFDvNXL-XML3.xml,PVLALL23,GFD,NXL,20231015,3,0,0.0,0,9,0.0,49.666666666666664,75.0,9,2,0.2222222222222222,9,21,0.3,68.88888888888889,78.55555555555556,0,0,0
PVLAFC2023-M17-CHDvCMF-XML.xml,PVLALL23,CHD,CMF,20231026,16,11,0.6875,36,25,0.5901639344262295,87.125,78.3125,16,12,0.75,42,25,0.6268656716417911,91.5,86.0625,0,0,0
PVL2024A-W41-FFF-CHD-XML.xml,PVLALL24,FFF,CHD,20240404,10,1,0.1,9,27,0.25,75.7,84.8,17,11,0.6470588235294118,36,28,0.5625,85.41176470588235,78.11764705882354,0,0,0
PVLAFC2023-M56-FFFvGTH-XML_112723.xml,PVLALL23,FFF,GTH,20231128,11,1,0.09090909090909091,9,30,0.23076923076923078,72.36363636363636,83.9090909090909,8,2,0.25,8,18,0.3076923076923077,65.75,73.5,0,0,1
PVL2024B-W47-HSH-CMF-XML.xml,PVLR24,HSH,CMF,20240822,8,5,0.625,18,13,0.5806451612903226,86.125,84.0,17,13,0.7647058823529411,45,25,0.6428571428571429,90.52941176470588,84.41176470588235,0,0,1
PVL2024A-W63-CCS-HSH-XML.xml,PVLALL24,CCS,HSH,20240425,23,19,0.8260869565217391,63,25,0.7159090909090909,90.91304347826087,79.04347826086956,9,6,0.6666666666666666,21,14,0.6,87.22222222222223,83.33333333333333,0,0,0
