match_id,team_a_id,team_b_id,tournament_id,team_a_elo,team_b_elo,elo_diff,elo_prob_team_a,team_a_matches_played,team_a_win_rate,team_a_avg_points,team_a_avg_attack,team_a_avg_block,team_a_avg_serve,team_b_matches_played,team_b_win_rate,team_b_avg_points,team_b_avg_attack,team_b_avg_block,team_b_avg_serve,team_a_starter_attack,team_a_starter_block,team_a_starter_serve,team_a_top_scorer,team_a_libero_digs,team_a_libero_reception,team_a_roster_depth,team_a_avg_sets_per_player,team_a_10plus_scorers,team_b_starter_attack,team_b_starter_block,team_b_starter_serve,team_b_top_scorer,team_b_libero_digs,team_b_libero_reception,team_b_roster_depth,team_b_avg_sets_per_player,team_b_10plus_scorers,team_a_wins
81,1,10,7,1623.3499696353294,1527.8790812127443,95.47088842258518,0.6340368919373114,23,1.6521739130434783,90.91304347826087,57.0,8.434782608695652,5.869565217391305,9,1.3333333333333333,87.22222222222223,55.333333333333336,7.444444444444445,4.111111111111111,4.160714285714286,0.5892857142857143,0.4392857142857143,26,1.2535714285714286,0.7892857142857143,25,3.0964285714285715,55,4.257142857142857,0.5428571428571428,0.2761904761904762,34,1.7142857142857142,0.9333333333333333,21,3.1333333333333333,21,0
82,15,10,10,1454.0654469591402,1540.5598190514904,-86.4943720923502,0.37803392021806576,9,0.4444444444444444,66.22222222222223,37.888888888888886,4.0,4.777777777777778,10,1.4,88.4,55.8,7.5,4.2,2.0677966101694913,0.23728813559322035,0.2542372881355932,16,1.1779661016949152,0.4915254237288136,20,2.542372881355932,8,4.362068965517241,0.5517241379310345,0.29310344827586204,34,1.6982758620689655,0.8620689655172413,21,3.163793103448276,24,0
83,15,19,7,1446.5047685547788,1485.0991215199251,-38.5943529651463,0.44468559251773915,10,0.4,67.7,39.5,4.1,4.6,4,0.5,81.0,53.0,6.25,2.25,2.310077519379845,0.24806201550387597,0.2558139534883721,16,1.2248062015503876,0.5038759689922481,21,2.5968992248062017,12,3.857142857142857,0.4897959183673469,0.12244897959183673,47,1.0816326530612246,1.183673469387755,23,3.2244897959183674,6,1
84,12,9,4,1458.5672204650177,1459.0097742823655,-0.44255381734774346,0.4993631142052778,4,0.0,50.0,29.25,3.75,2.5,11,0.5454545454545454,68.18181818181819,41.36363636363637,5.636363636363637,4.454545454545454,1.9807692307692308,0.28846153846153844,0.15384615384615385,12,0.8461538461538461,0.6153846153846154,18,2.3076923076923075,2,2.692857142857143,0.34285714285714286,0.2857142857142857,25,1.1071428571428572,0.36428571428571427,22,2.7928571428571427,16,0
85,5,11,10,1495.173494038289,1546.1885320398462,-51.015038001557286,0.4271065670106852,9,0.8888888888888888,76.66666666666667,45.0,7.888888888888889,2.888888888888889,18,1.3333333333333333,84.83333333333333,53.55555555555556,7.166666666666667,4.388888888888889,3.2777777777777777,0.6111111111111112,0.18518518518518517,23,1.3240740740740742,0.6296296296296297,20,2.824074074074074,11,3.8995433789954337,0.5296803652968036,0.3105022831050228,37,1.4063926940639269,0.7488584474885844,20,2.8493150684931505,35,0
86,16,5,7,1559.6877967337384,1486.6313626980752,73.05643403566319,0.6036140485880643,18,1.4444444444444444,89.83333333333333,52.888888888888886,9.666666666666666,3.6666666666666665,10,0.8,77.6,45.5,8.2,3.0,4.123152709359606,0.729064039408867,0.28078817733990147,29,1.6650246305418719,0.7733990147783252,22,3.2610837438423643,34,3.389830508474576,0.635593220338983,0.17796610169491525,23,1.3135593220338984,0.711864406779661,22,2.8983050847457625,13,1
87,15,9,2,1457.611056704424,1468.997036566471,-11.385979862046952,0.48362012122685827,11,0.5454545454545454,70.81818181818181,40.90909090909091,4.7272727272727275,4.909090909090909,12,0.6666666666666666,68.75,41.416666666666664,5.916666666666667,4.583333333333333,2.2237762237762237,0.2517482517482518,0.27972027972027974,16,1.3006993006993006,0.5174825174825175,21,2.6783216783216783,14,2.6862745098039214,0.3660130718954248,0.2875816993464052,25,1.0980392156862746,0.3464052287581699,22,2.764705882352941,17,0
88,3,16,6,1498.1955516703263,1567.6155157619771,-69.41996409165085,0.40140521954036307,13,0.9230769230769231,80.15384615384616,49.07692307692308,7.769230769230769,2.769230769230769,19,1.4736842105263157,89.05263157894737,52.05263157894737,9.526315789473685,3.6842105263157894,3.184049079754601,0.5030674846625767,0.17791411042944785,31,1.1042944785276074,0.8098159509202454,24,2.8404907975460123,26,4.122641509433962,0.7311320754716981,0.28773584905660377,29,1.6556603773584906,0.7594339622641509,22,3.240566037735849,35,0
89,1,2,3,1610.6692317965833,1545.857089035728,64.8121427608553,0.5922051021158229,24,1.5833333333333333,90.70833333333333,57.0,8.166666666666666,5.875,11,1.4545454545454546,89.54545454545455,57.0,7.2727272727272725,4.2727272727272725,4.133561643835616,0.571917808219178,0.4383561643835616,26,1.2123287671232876,0.7945205479452054,25,3.1027397260273974,57,4.2180451127819545,0.5639097744360902,0.3233082706766917,19,1.0902255639097744,0.7669172932330827,23,2.917293233082707,31,0
90,2,3,4,1557.7011910780445,1490.167447279519,67.53374379852562,0.5959830704246291,12,1.5,90.66666666666667,57.416666666666664,7.75,4.333333333333333,14,0.8571428571428571,78.64285714285714,47.92857142857143,7.857142857142857,2.857142857142857,4.232876712328767,0.5958904109589042,0.3287671232876712,21,1.1164383561643836,0.7876712328767124,23,3.047945205479452,35,3.1485714285714286,0.52,0.18857142857142858,31,1.0742857142857143,0.7885714285714286,24,2.8114285714285714,28,0
91,10,3,8,1548.1204974558518,1502.0871086880115,46.03338876784028,0.5658624202246613,11,1.4545454545454546,88.9090909090909,55.63636363636363,8.181818181818182,4.0,15,0.9333333333333333,79.73333333333333,49.0,7.8,3.2,4.333333333333333,0.6046511627906976,0.2713178294573643,34,1.689922480620155,0.8294573643410853,21,3.1627906976744184,26,3.2032085561497325,0.5026737967914439,0.2192513368983957,31,1.085561497326203,0.8235294117647058,24,2.8502673796791442,30,1
92,19,9,2,1473.9928333702799,1478.6694389910083,-4.676605620728424,0.4932702299382472,5,0.4,84.6,54.0,6.4,2.8,13,0.7692307692307693,72.07692307692308,42.46153846153846,6.846153846153846,4.769230769230769,3.9166666666666665,0.5,0.16666666666666666,47,1.3666666666666667,1.25,23,3.3,8,2.696969696969697,0.43636363636363634,0.296969696969697,25,1.1575757575757575,0.38181818181818183,22,2.8848484848484848,19,1
93,11,4,9,1554.73066338006,1438.1214023212697,116.60926105879025,0.6617845352729284,19,1.368421052631579,85.52631578947368,54.05263157894737,7.368421052631579,4.473684210526316,12,0.3333333333333333,74.58333333333333,46.166666666666664,4.583333333333333,3.1666666666666665,3.961038961038961,0.5497835497835498,0.3203463203463203,37,1.4415584415584415,0.7359307359307359,20,2.8701298701298703,38,3.1156462585034013,0.2925170068027211,0.1564625850340136,30,1.272108843537415,0.3945578231292517,23,2.7687074829931975,16,1
94,10,3,2,1556.8032490513585,1493.4043570925048,63.39889195885371,0.5902389714904677,12,1.5,90.5,56.583333333333336,8.75,4.166666666666667,16,0.875,80.5625,49.25,7.6875,3.4375,4.375886524822695,0.6595744680851063,0.28368794326241137,34,1.75177304964539,0.851063829787234,21,3.2056737588652484,29,3.189054726368159,0.4975124378109453,0.23383084577114427,31,1.064676616915423,0.9054726368159204,24,2.915422885572139,31,0
95,1,11,9,1598.8251297542668,1561.4949726746013,37.33015707966547,0.5535166338416342,25,1.52,90.96,57.2,8.24,5.76,20,1.4,85.0,53.6,7.45,4.5,4.115131578947368,0.5822368421052632,0.4276315789473684,26,1.2105263157894737,0.8092105263157895,25,3.151315789473684,59,3.94238683127572,0.5596707818930041,0.32098765432098764,37,1.3950617283950617,0.7078189300411523,20,2.847736625514403,40,1
96,12,6,4,1448.5799581809122,1474.8582994577428,-26.278341276830588,0.4622543763260095,5,0.0,50.2,29.4,3.4,2.8,3,0.0,67.33333333333333,34.333333333333336,5.666666666666667,5.0,2.0,0.265625,0.171875,12,0.890625,0.671875,18,2.28125,2,2.0526315789473686,0.39473684210526316,0.34210526315789475,15,1.1842105263157894,0.868421052631579,16,2.6052631578947367,2,0
97,3,16,2,1505.209136522314,1575.6436201527845,-70.43448363047037,0.40000279072505196,17,0.9411764705882353,82.05882352941177,50.529411764705884,7.9411764705882355,3.5294117647058822,20,1.5,88.4,51.8,9.4,3.7,3.289719626168224,0.514018691588785,0.24299065420560748,33,1.1074766355140186,0.883177570093458,24,2.9813084112149535,33,4.08,0.7155555555555555,0.28444444444444444,29,1.6088888888888888,0.7555555555555555,22,3.2044444444444444,37,0
98,10,15,2,1544.9984696215492,1447.9386542798868,97.05981534166244,0.6361566013135753,13,1.3846153846153846,91.15384615384616,57.92307692307692,8.692307692307692,4.0,12,0.5,73.33333333333333,42.5,5.166666666666667,4.916666666666667,4.5394736842105265,0.6644736842105263,0.2631578947368421,34,1.7236842105263157,0.881578947368421,21,3.2960526315789473,32,2.2756410256410255,0.2692307692307692,0.28205128205128205,17,1.3461538461538463,0.5512820512820513,21,2.7628205128205128,16,1
99,10,13,5,1552.2753375952777,1510.5431402276151,41.73219736766259,0.559770288671399,14,1.4285714285714286,90.0,56.857142857142854,8.642857142857142,4.0,1,2.0,100.0,69.0,6.0,5.0,4.391566265060241,0.6566265060240963,0.25903614457831325,34,1.6746987951807228,0.8614457831325302,21,3.2228915662650603,33,5.0,0.46153846153846156,0.38461538461538464,21,0.9230769230769231,0.3076923076923077,13,3.1538461538461537,3,1
